0,61;4,30E-12;2,57E-14;5,69E-14;4,38E-12;4,34E-12;1,27E-13;3,98E-13;4,86E-12;4,72E-12;1,13E-12;3,81E-12;9,67E-12;6,44E-12;5,61E-12;1,90E-11;3,10E-11
0,62;4,30E-12;3,81E-14;3,90E-14;4,38E-12;4,34E-12;2,43E-13;2,15E-13;4,79E-12;4,69E-12;2,29E-12;1,97E-12;8,95E-12;6,26E-12;1,14E-11;9,78E-12;2,74E-11
0,63;4,32E-12;3,89E-14;4,90E-14;4,40E-12;4,35E-12;2,41E-13;3,07E-13;4,89E-12;4,64E-12;2,26E-12;2,89E-12;9,79E-12;5,92E-12;1,12E-11;1,44E-11;3,15E-11
0,64;4,31E-12;2,37E-14;3,64E-14;4,37E-12;4,34E-12;8,83E-14;1,87E-13;4,62E-12;4,61E-12;7,35E-13;1,70E-12;7,04E-12;5,80E-12;3,61E-12;8,41E-12;1,78E-11
0,65;4,29E-12;2,36E-14;2,27E-14;4,34E-12;4,31E-12;8,84E-14;5,15E-14;4,45E-12;4,57E-12;7,36E-13;3,40E-13;5,65E-12;5,70E-12;3,62E-12;1,62E-12;1,09E-11
0,66;4,34E-12;2,41E-14;2,27E-14;4,39E-12;4,37E-12;9,15E-14;4,76E-14;4,51E-12;4,62E-12;7,66E-13;2,96E-13;5,69E-12;5,75E-12;3,76E-12;1,40E-12;1,09E-11
0,67;4,32E-12;2,64E-14;2,40E-14;4,37E-12;4,34E-12;1,12E-13;5,53E-14;4,51E-12;4,60E-12;9,64E-13;3,68E-13;5,94E-12;5,77E-12;4,75E-12;1,76E-12;1,23E-11
0,68;4,28E-12;2,44E-14;2,81E-14;4,33E-12;4,31E-12;8,56E-14;9,53E-14;4,49E-12;4,57E-12;6,98E-13;7,67E-13;6,03E-12;5,73E-12;3,42E-12;3,75E-12;1,29E-11
0,69;4,33E-12;2,09E-14;2,29E-14;4,37E-12;4,35E-12;5,77E-14;4,20E-14;4,45E-12;4,60E-12;4,26E-13;2,33E-13;5,25E-12;5,69E-12;2,06E-12;1,08E-12;8,83E-12
0,70;4,40E-12;2,28E-14;2,31E-14;4,44E-12;4,42E-12;7,36E-14;4,52E-14;4,54E-12;4,67E-12;5,81E-13;2,67E-13;5,51E-12;5,76E-12;2,84E-12;1,25E-12;9,85E-12
