zero of S position (m) defined 1334,4m before the entrance of the first dipole;Stabilised Pressure profils Dose = 1A*h (7BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;2,39E-11;3,79E-13;8,45E-14;2,44E-11;1,91E-10;3,53E-12;5,14E-13;1,95E-10;1,86E-09;3,50E-11;4,81E-12;1,90E-09;9,28E-09;1,75E-10;2,39E-11;9,47E-09
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
0,01;5,35E-12;2,13E-14;2,45E-14;5,39E-12;1,46E-11;4,39E-14;2,69E-14;1,46E-11;1,07E-10;2,69E-13;5,03E-14;1,07E-10;5,16E-10;1,27E-12;1,55E-13;5,17E-10
0,02;5,05E-12;2,27E-14;2,45E-14;5,10E-12;1,31E-11;4,57E-14;2,67E-14;1,32E-11;9,40E-11;2,76E-13;4,79E-14;9,43E-11;4,53E-10;1,30E-12;1,42E-13;4,55E-10
0,03;5,23E-12;1,88E-14;2,44E-14;5,27E-12;1,22E-11;3,10E-14;2,61E-14;1,22E-11;8,19E-11;1,53E-13;4,34E-14;8,21E-11;3,91E-10;6,95E-13;1,20E-13;3,92E-10
0,04;5,31E-12;1,65E-14;2,33E-14;5,35E-12;1,25E-11;2,23E-14;2,44E-14;1,25E-11;8,44E-11;7,99E-14;3,53E-14;8,45E-11;4,04E-10;3,36E-13;8,35E-14;4,04E-10
0,05;5,27E-12;1,79E-14;1,48E-14;5,31E-12;1,12E-11;2,30E-14;1,55E-14;1,13E-11;7,08E-11;7,36E-14;2,16E-14;7,09E-11;3,35E-10;2,98E-13;4,88E-14;3,36E-10
0,06;5,21E-12;1,79E-14;1,94E-14;5,25E-12;1,13E-11;2,14E-14;1,98E-14;1,13E-11;7,19E-11;5,64E-14;2,33E-14;7,20E-11;3,41E-10;2,12E-13;3,91E-14;3,42E-10
0,07;5,11E-12;1,79E-14;2,00E-14;5,14E-12;1,05E-11;2,14E-14;2,02E-14;1,06E-11;6,48E-11;5,59E-14;2,27E-14;6,49E-11;3,06E-10;2,09E-13;3,38E-14;3,06E-10
0,08;5,14E-12;1,64E-14;1,69E-14;5,17E-12;9,56E-12;1,73E-14;1,71E-14;9,60E-12;5,38E-11;2,66E-14;1,93E-14;5,38E-11;2,50E-10;6,78E-14;2,91E-14;2,50E-10
0,09;5,20E-12;1,48E-14;2,11E-14;5,24E-12;9,26E-12;1,80E-14;2,12E-14;9,30E-12;4,98E-11;4,99E-14;2,23E-14;4,99E-11;2,30E-10;1,92E-13;2,72E-14;2,30E-10
