zero of S position (m) defined 1334,4m before the entrance of the first dipole;Stabilised Pressure profils Dose = 10A*h (7BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;8,22E-12;5,20E-14;4,14E-14;8,31E-12;3,31E-11;2,40E-13;5,63E-14;3,34E-11;2,82E-10;2,12E-12;2,05E-13;2,84E-10;1,39E-09;1,05E-11;8,68E-13;1,40E-09
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
0,01;5,05E-12;1,80E-14;2,46E-14;5,09E-12;6,38E-12;1,95E-14;2,47E-14;6,43E-12;1,98E-11;3,41E-14;2,57E-14;1,98E-11;7,92E-11;9,92E-14;3,04E-14;7,94E-11
0,02;4,89E-12;1,99E-14;2,46E-14;4,93E-12;6,08E-12;2,11E-14;2,47E-14;6,13E-12;1,80E-11;3,33E-14;2,55E-14;1,81E-11;7,10E-11;8,72E-14;2,94E-14;7,11E-11
0,03;4,80E-12;1,85E-14;2,09E-14;4,84E-12;5,87E-12;1,92E-14;2,09E-14;5,91E-12;1,66E-11;2,59E-14;2,13E-14;1,67E-11;6,44E-11;5,59E-14;2,28E-14;6,45E-11
0,04;4,82E-12;1,58E-14;3,19E-14;4,86E-12;5,82E-12;1,62E-14;3,20E-14;5,87E-12;1,59E-11;2,09E-14;3,24E-14;1,59E-11;6,04E-11;4,14E-14;3,44E-14;6,05E-11
0,05;5,12E-12;1,83E-14;2,75E-14;5,17E-12;6,00E-12;1,86E-14;2,75E-14;6,04E-12;1,47E-11;2,19E-14;2,77E-14;1,48E-11;5,37E-11;3,61E-14;2,85E-14;5,37E-11
0,06;4,98E-12;1,66E-14;2,00E-14;5,02E-12;5,75E-12;1,69E-14;2,01E-14;5,78E-12;1,34E-11;1,97E-14;2,02E-14;1,34E-11;4,74E-11;3,25E-14;2,09E-14;4,75E-11
0,07;4,84E-12;1,91E-14;2,15E-14;4,88E-12;5,52E-12;1,92E-14;2,15E-14;5,56E-12;1,23E-11;2,06E-14;2,15E-14;1,24E-11;4,26E-11;2,66E-14;2,18E-14;4,27E-11
0,08;4,58E-12;1,94E-14;2,24E-14;4,62E-12;5,20E-12;1,96E-14;2,24E-14;5,24E-12;1,14E-11;2,14E-14;2,25E-14;1,14E-11;3,90E-11;2,98E-14;2,26E-14;3,90E-11
0,09;4,34E-12;1,76E-14;2,22E-14;4,38E-12;4,85E-12;1,77E-14;2,22E-14;4,89E-12;1,00E-11;1,82E-14;2,23E-14;1,01E-11;3,30E-11;2,04E-14;2,25E-14;3,31E-11
0,10;4,40E-12;1,44E-14;1,98E-14;4,43E-12;4,92E-12;1,45E-14;1,98E-14;4,95E-12;1,01E-11;1,52E-14;1,99E-14;1,01E-11;3,31E-11;1,82E-14;2,02E-14;3,31E-11
0,11;4,32E-12;1,59E-14;2,13E-14;4,36E-12;4,75E-12;1,59E-14;2,13E-14;4,79E-12;9,06E-12;1,60E-14;2,13E-14;9,10E-12;2,82E-11;1,65E-14;2,14E-14;2,82E-11
0,12;4,32E-12;1,72E-14;2,07E-14;4,36E-12;4,71E-12;1,72E-14;2,07E-14;4,75E-12;8,60E-12;1,72E-14;2,07E-14;8,64E-12;2,59E-11;1,72E-14;2,08E-14;2,60E-11
