zero of S position (m) defined 1334,4m before the entrance of the first dipole;Stabilised Pressure profils Dose = 0,1A*h (7BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;1,46E-10;6,94E-12;1,73E-12;1,55E-10;1,42E-09;6,92E-11;1,70E-11;1,50E-09;1,41E-08;6,91E-10;1,70E-10;1,50E-08;7,06E-08;3,46E-09;8,49E-10;7,49E-08
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
0,26;5,20E-12;1,93E-14;1,85E-14;5,24E-12;1,23E-11;1,93E-14;1,85E-14;1,23E-11;8,28E-11;1,93E-14;1,85E-14;8,28E-11;3,96E-10;1,93E-14;1,85E-14;3,96E-10
0,27;5,15E-12;1,61E-14;1,92E-14;5,19E-12;1,17E-11;1,61E-14;1,92E-14;1,17E-11;7,68E-11;1,61E-14;1,92E-14;7,68E-11;3,66E-10;1,61E-14;1,92E-14;3,66E-10
0,28;5,31E-12;1,62E-14;1,89E-14;5,35E-12;1,20E-11;1,62E-14;1,89E-14;1,20E-11;7,85E-11;1,62E-14;1,89E-14;7,85E-11;3,74E-10;1,62E-14;1,89E-14;3,74E-10
0,29;5,05E-12;1,87E-14;1,91E-14;5,09E-12;1,02E-11;1,87E-14;1,91E-14;1,03E-11;6,20E-11;1,87E-14;1,91E-14;6,20E-11;2,92E-10;1,87E-14;1,91E-14;2,92E-10
0,30;5,32E-12;1,57E-14;1,82E-14;5,36E-12;1,14E-11;1,57E-14;1,82E-14;1,15E-11;7,25E-11;1,57E-14;1,82E-14;7,25E-11;3,44E-10;1,57E-14;1,82E-14;3,44E-10
0,31;5,27E-12;1,42E-14;2,03E-14;5,31E-12;9,72E-12;1,42E-14;2,03E-14;9,75E-12;5,42E-11;1,42E-14;2,03E-14;5,42E-11;2,52E-10;1,42E-14;2,03E-14;2,52E-10
0,32;5,15E-12;1,62E-14;1,99E-14;5,19E-12;8,46E-12;1,62E-14;1,99E-14;8,50E-12;4,15E-11;1,62E-14;1,99E-14;4,16E-11;1,88E-10;1,62E-14;1,99E-14;1,89E-10
0,33;5,29E-12;1,48E-14;2,20E-14;5,33E-12;8,51E-12;1,48E-14;2,20E-14;8,55E-12;4,07E-11;1,48E-14;2,20E-14;4,07E-11;1,84E-10;1,48E-14;2,20E-14;1,84E-10
0,34;5,11E-12;1,35E-14;2,17E-14;5,15E-12;8,51E-12;1,35E-14;2,17E-14;8,54E-12;4,24E-11;1,35E-14;2,17E-14;4,24E-11;1,93E-10;1,35E-14;2,17E-14;1,93E-10
0,35;5,13E-12;1,58E-14;1,86E-14;5,16E-12;8,28E-12;1,58E-14;1,86E-14;8,31E-12;3,98E-11;1,58E-14;1,86E-14;3,98E-11;1,80E-10;1,58E-14;1,86E-14;1,80E-10
0,36;5,13E-12;1,51E-14;2,12E-14;5,16E-12;7,65E-12;1,51E-14;2,12E-14;7,68E-12;3,29E-11;1,51E-14;2,12E-14;3,29E-11;1,45E-10;1,51E-14;2,12E-14;1,45E-10
0,37;4,99E-12;1,47E-14;1,72E-14;5,02E-12;7,43E-12;1,47E-14;1,72E-14;7,46E-12;3,18E-11;1,47E-14;1,72E-14;3,18E-11;1,40E-10;1,47E-14;1,72E-14;1,40E-10
0,38;5,13E-12;1,37E-14;2,51E-14;5,17E-12;7,98E-12;1,37E-14;2,51E-14;8,02E-12;3,64E-11;1,37E-14;2,51E-14;3,65E-11;1,63E-10;1,37E-14;2,51E-14;1,63E-10
0,39;4,89E-12;1,74E-14;2,39E-14;4,94E-12;6,85E-12;1,74E-14;2,39E-14;6,89E-12;2,64E-11;1,74E-14;2,39E-14;2,65E-11;1,14E-10;1,74E-14;2,39E-14;1,14E-10
0,40;5,12E-12;1,35E-14;2,36E-14;5,15E-12;7,32E-12;1,35E-14;2,36E-14;7,36E-12;2,94E-11;1,35E-14;2,36E-14;2,94E-11;1,27E-10;1,35E-14;2,36E-14;1,27E-10
0,41;4,67E-12;1,24E-14;2,09E-14;4,71E-12;6,19E-12;1,24E-14;2,09E-14;6,22E-12;2,13E-11;1,24E-14;2,09E-14;2,14E-11;8,87E-11;1,24E-14;2,09E-14;8,87E-11
0,42;5,04E-12;1,58E-14;2,44E-14;5,08E-12;6,26E-12;1,58E-14;2,61E-14;6,30E-12;1,85E-11;1,58E-14;4,32E-14;1,85E-11;7,27E-11;1,58E-14;1,19E-13;7,29E-11
0,43;4,65E-12;1,69E-14;1,80E-14;4,68E-12;5,76E-12;1,69E-14;1,80E-14;5,79E-12;1,68E-11;1,69E-14;1,80E-14;1,69E-11;6,61E-11;1,69E-14;1,80E-14;6,61E-11
0,44;4,42E-12;1,54E-14;2,32E-14;4,45E-12;5,56E-12;1,54E-14;2,32E-14;5,60E-12;1,70E-11;1,54E-14;2,32E-14;1,71E-11;6,80E-11;1,54E-14;2,32E-14;6,80E-11
0,45;4,61E-12;1,46E-14;2,79E-14;4,65E-12;5,46E-12;1,46E-14;2,79E-14;5,50E-12;1,40E-11;1,46E-14;2,79E-14;1,40E-11;5,17E-11;1,46E-14;2,79E-14;5,18E-11
