zero of S position (m) defined 2m before the entrance of the first dipole;Stabilised Pressure profils Dose = 1A*h (4BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;1,36E-11;2,03E-13;4,88E-14;1,39E-11;9,50E-11;1,84E-12;2,53E-13;9,71E-11;9,09E-10;1,82E-11;2,30E-12;9,29E-10;4,53E-09;9,09E-11;1,14E-11;4,63E-09
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
0,61;4,58E-12;2,70E-14;8,13E-14;4,69E-12;4,81E-12;1,21E-13;6,44E-13;5,58E-12;7,12E-12;1,07E-12;6,28E-12;1,45E-11;1,74E-11;5,26E-12;3,13E-11;5,40E-11
0,62;4,54E-12;3,89E-14;1,18E-13;4,70E-12;4,78E-12;2,38E-13;1,00E-12;6,02E-12;7,15E-12;2,23E-12;9,85E-12;1,92E-11;1,77E-11;1,11E-11;4,92E-11;7,80E-11
0,63;4,42E-12;3,19E-14;5,18E-14;4,50E-12;4,61E-12;1,70E-13;3,26E-13;5,11E-12;6,60E-12;1,55E-12;3,07E-12;1,12E-11;1,54E-11;7,69E-12;1,53E-11;3,84E-11
0,64;4,47E-12;2,51E-14;4,13E-14;4,54E-12;4,67E-12;1,06E-13;2,18E-13;4,99E-12;6,62E-12;9,14E-13;1,98E-12;9,51E-12;1,53E-11;4,51E-12;9,82E-12;2,96E-11
0,65;4,50E-12;2,38E-14;4,38E-14;4,56E-12;4,68E-12;9,58E-14;2,44E-13;5,02E-12;6,52E-12;8,16E-13;2,25E-12;9,58E-12;1,47E-11;4,02E-12;1,12E-11;2,98E-11
0,66;4,46E-12;2,36E-14;2,87E-14;4,51E-12;4,64E-12;9,22E-14;9,93E-14;4,83E-12;6,44E-12;7,78E-13;8,05E-13;8,02E-12;1,45E-11;3,83E-12;3,94E-12;2,22E-11
0,67;4,45E-12;2,33E-14;2,30E-14;4,50E-12;4,62E-12;9,33E-14;2,50E-14;4,74E-12;6,31E-12;7,93E-13;4,55E-14;7,15E-12;1,38E-11;3,90E-12;1,37E-13;1,79E-11
0,68;4,47E-12;2,17E-14;2,55E-14;4,52E-12;4,64E-12;8,21E-14;5,54E-14;4,78E-12;6,38E-12;6,86E-13;3,54E-13;7,42E-12;1,41E-11;3,37E-12;1,68E-12;1,92E-11
0,69;4,48E-12;2,42E-14;2,76E-14;4,53E-12;4,65E-12;9,67E-14;8,42E-14;4,83E-12;6,41E-12;8,22E-13;6,50E-13;7,88E-12;1,42E-11;4,05E-12;3,17E-12;2,14E-11
0,70;4,52E-12;2,33E-14;2,36E-14;4,57E-12;4,70E-12;8,54E-14;5,10E-14;4,84E-12;6,56E-12;7,06E-13;3,25E-13;7,59E-12;1,48E-11;3,47E-12;1,55E-12;1,98E-11
0,71;4,49E-12;2,67E-14;2,66E-14;4,54E-12;4,66E-12;1,02E-13;7,99E-14;4,84E-12;6,39E-12;8,59E-13;6,13E-13;7,86E-12;1,41E-11;4,22E-12;2,98E-12;2,13E-11
0,72;4,48E-12;2,37E-14;2,49E-14;4,53E-12;4,66E-12;8,56E-14;7,49E-14;4,82E-12;6,41E-12;7,05E-13;5,75E-13;7,69E-12;1,42E-11;3,46E-12;2,80E-12;2,05E-11
0,73;4,48E-12;2,21E-14;2,50E-14;4,52E-12;4,66E-12;6,88E-14;6,01E-14;4,79E-12;6,48E-12;5,35E-13;4,12E-13;7,43E-12;1,46E-11;2,61E-12;1,97E-12;1,92E-11
0,74;4,49E-12;2,26E-14;2,58E-14;4,54E-12;4,66E-12;7,52E-14;6,42E-14;4,80E-12;6,37E-12;6,02E-13;4,48E-13;7,42E-12;1,40E-11;2,94E-12;2,15E-12;1,91E-11
0,75;4,50E-12;2,16E-14;2,44E-14;4,55E-12;4,68E-12;6,62E-14;6,13E-14;4,80E-12;6,40E-12;5,12E-13;4,31E-13;7,35E-12;1,41E-11;2,49E-12;2,08E-12;1,86E-11
0,76;4,52E-12;2,06E-14;2,53E-14;4,57E-12;4,69E-12;5,68E-14;6,28E-14;4,81E-12;6,34E-12;4,19E-13;4,38E-13;7,20E-12;1,37E-11;2,03E-12;2,10E-12;1,78E-11
0,77;4,54E-12;2,02E-14;2,36E-14;4,58E-12;4,70E-12;5,21E-14;6,22E-14;4,81E-12;6,28E-12;3,71E-13;4,48E-13;7,10E-12;1,33E-11;1,79E-12;2,16E-12;1,73E-11
0,78;4,51E-12;1,96E-14;2,44E-14;4,55E-12;4,67E-12;4,78E-14;7,02E-14;4,79E-12;6,32E-12;3,30E-13;5,28E-13;7,18E-12;1,37E-11;1,58E-12;2,56E-12;1,78E-11
0,79;4,46E-12;1,80E-14;2,05E-14;4,50E-12;4,61E-12;3,35E-14;2,96E-14;4,68E-12;6,17E-12;1,88E-13;1,21E-13;6,48E-12;1,31E-11;8,77E-13;5,28E-13;1,45E-11
0,80;4,47E-12;1,80E-14;2,14E-14;4,51E-12;4,61E-12;3,21E-14;3,16E-14;4,67E-12;6,02E-12;1,73E-13;1,34E-13;6,33E-12;1,23E-11;8,01E-13;5,88E-13;1,37E-11
0,81;4,44E-12;1,87E-14;2,09E-14;4,48E-12;4,58E-12;3,59E-14;2,50E-14;4,64E-12;6,04E-12;2,07E-13;6,68E-14;6,32E-12;1,25E-11;9,70E-13;2,52E-13;1,37E-11
0,82;4,44E-12;1,78E-14;2,05E-14;4,47E-12;4,59E-12;3,57E-14;2,09E-14;4,64E-12;6,10E-12;2,15E-13;2,56E-14;6,34E-12;1,28E-11;1,01E-12;4,63E-14;1,39E-11
0,83;4,46E-12;1,83E-14;2,11E-14;4,50E-12;4,60E-12;2,87E-14;2,14E-14;4,65E-12;6,07E-12;1,33E-13;2,42E-14;6,22E-12;1,26E-11;5,94E-13;3,67E-14;1,32E-11
0,84;4,47E-12;1,89E-14;2,02E-14;4,51E-12;4,62E-12;3,23E-14;2,03E-14;4,67E-12;6,08E-12;1,66E-13;2,20E-14;6,27E-12;1,26E-11;7,60E-13;2,94E-14;1,34E-11
0,85;4,43E-12;1,87E-14;2,07E-14;4,47E-12;4,58E-12;2,79E-14;2,10E-14;4,63E-12;6,04E-12;1,19E-13;2,36E-14;6,18E-12;1,25E-11;5,26E-13;3,52E-14;1,31E-11
0,86;4,39E-12;1,92E-14;2,12E-14;4,43E-12;4,53E-12;2,82E-14;2,18E-14;4,58E-12;5,99E-12;1,18E-13;2,83E-14;6,13E-12;1,24E-11;5,16E-13;5,72E-14;1,30E-11
0,87;4,41E-12;1,88E-14;2,26E-14;4,46E-12;4,55E-12;2,73E-14;2,91E-14;4,61E-12;5,94E-12;1,13E-13;9,44E-14;6,15E-12;1,21E-11;4,94E-13;3,84E-13;1,30E-11
0,88;4,42E-12;1,83E-14;2,24E-14;4,46E-12;4,56E-12;2,71E-14;2,68E-14;4,62E-12;5,96E-12;1,15E-13;7,01E-14;6,15E-12;1,22E-11;5,06E-13;2,62E-13;1,30E-11
0,89;4,46E-12;1,81E-14;2,16E-14;4,50E-12;4,60E-12;2,07E-14;2,21E-14;4,64E-12;5,99E-12;4,68E-14;2,76E-14;6,07E-12;1,22E-11;1,63E-13;5,19E-14;1,24E-11
0,90;4,51E-12;1,80E-14;2,20E-14;4,55E-12;4,65E-12;2,29E-14;2,23E-14;4,69E-12;6,02E-12;7,22E-14;2,53E-14;6,12E-12;1,21E-11;2,91E-13;3,84E-14;1,25E-11
0,91;4,50E-12;1,81E-14;2,23E-14;4,54E-12;4,63E-12;2,61E-14;2,26E-14;4,68E-12;6,02E-12;1,06E-13;2,56E-14;6,15E-12;1,22E-11;4,61E-13;3,87E-14;1,27E-11
0,92;4,50E-12;1,75E-14;2,30E-14;4,54E-12;4,64E-12;2,32E-14;2,37E-14;4,68E-12;6,04E-12;7,99E-14;3,04E-14;6,15E-12;1,23E-11;3,32E-13;6,01E-14;1,27E-11
0,93;4,48E-12;1,78E-14;2,21E-14;4,52E-12;4,63E-12;2,24E-14;2,82E-14;4,68E-12;6,03E-12;6,82E-14;9,01E-14;6,19E-12;1,23E-11;2,72E-13;3,65E-13;1,29E-11
0,94;4,49E-12;1,72E-14;2,21E-14;4,53E-12;4,63E-12;1,98E-14;2,67E-14;4,67E-12;6,00E-12;4,65E-14;7,29E-14;6,12E-12;1,21E-11;1,65E-13;2,78E-13;1,26E-11
0,95;4,45E-12;1,70E-14;2,24E-14;4,49E-12;4,60E-12;2,28E-14;3,23E-14;4,65E-12;6,04E-12;8,16E-14;1,31E-13;6,25E-12;1,24E-11;3,43E-13;5,72E-13;1,34E-11
0,96;4,43E-12;1,63E-14;2,15E-14;4,47E-12;4,58E-12;1,99E-14;2,17E-14;4,62E-12;6,09E-12;5,54E-14;2,41E-14;6,17E-12;1,28E-11;2,13E-13;3,46E-14;1,30E-11
0,97;4,43E-12;1,76E-14;2,21E-14;4,47E-12;4,57E-12;2,77E-14;2,23E-14;4,62E-12;5,97E-12;1,28E-13;2,43E-14;6,12E-12;1,22E-11;5,76E-13;3,31E-14;1,28E-11
0,98;4,47E-12;1,72E-14;2,19E-14;4,51E-12;4,61E-12;2,38E-14;2,21E-14;4,66E-12;6,02E-12;9,03E-14;2,43E-14;6,13E-12;1,23E-11;3,86E-13;3,40E-14;1,27E-11
0,99;4,48E-12;1,82E-14;1,95E-14;4,52E-12;4,62E-12;2,53E-14;1,98E-14;4,66E-12;5,94E-12;9,61E-14;2,25E-14;6,06E-12;1,18E-11;4,11E-13;3,48E-14;1,23E-11
1,00;4,48E-12;1,91E-14;1,97E-14;4,52E-12;4,61E-12;2,19E-14;2,51E-14;4,66E-12;5,92E-12;4,98E-14;7,89E-14;6,05E-12;1,17E-11;1,74E-13;3,18E-13;1,22E-11
1,01;4,52E-12;1,83E-14;2,04E-14;4,56E-12;4,65E-12;2,47E-14;3,12E-14;4,70E-12;5,95E-12;8,91E-14;1,38E-13;6,17E-12;1,17E-11;3,75E-13;6,15E-13;1,27E-11
