zero of S position (m) defined 2m before the entrance of the first dipole;Stabilised Pressure profils Dose = 100A*h (4BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;5,08E-12;2,84E-14;3,51E-14;5,14E-12;6,61E-12;4,06E-14;4,65E-14;6,70E-12;2,20E-11;1,63E-13;1,61E-13;2,23E-11;9,02E-11;7,06E-13;6,67E-13;9,16E-11
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
0,86;4,59E-12;2,02E-14;2,46E-14;4,63E-12;4,59E-12;2,87E-14;2,57E-14;4,64E-12;4,62E-12;1,14E-13;3,66E-14;4,77E-12;4,76E-12;4,94E-13;8,47E-14;5,34E-12
0,87;4,56E-12;2,10E-14;2,69E-14;4,61E-12;4,57E-12;2,58E-14;4,01E-14;4,63E-12;4,60E-12;7,44E-14;1,72E-13;4,84E-12;4,73E-12;2,90E-13;7,57E-13;5,78E-12
0,88;4,52E-12;2,14E-14;2,51E-14;4,56E-12;4,52E-12;2,56E-14;3,35E-14;4,58E-12;4,55E-12;6,74E-14;1,18E-13;4,73E-12;4,68E-12;2,53E-13;4,96E-13;5,42E-12
0,89;4,54E-12;2,10E-14;2,46E-14;4,59E-12;4,54E-12;2,34E-14;2,54E-14;4,59E-12;4,57E-12;4,68E-14;3,29E-14;4,65E-12;4,71E-12;1,51E-13;6,64E-14;4,92E-12
0,90;4,53E-12;2,03E-14;2,35E-14;4,58E-12;4,53E-12;2,36E-14;2,39E-14;4,58E-12;4,56E-12;5,65E-14;2,74E-14;4,65E-12;4,69E-12;2,03E-13;4,29E-14;4,93E-12
0,91;4,51E-12;2,02E-14;2,47E-14;4,55E-12;4,51E-12;2,39E-14;2,51E-14;4,56E-12;4,54E-12;6,07E-14;2,85E-14;4,63E-12;4,67E-12;2,25E-13;4,39E-14;4,94E-12
0,92;4,43E-12;2,06E-14;2,59E-14;4,47E-12;4,43E-12;2,48E-14;2,72E-14;4,48E-12;4,46E-12;6,67E-14;4,01E-14;4,57E-12;4,59E-12;2,53E-13;9,78E-14;4,94E-12
0,93;4,38E-12;1,94E-14;2,58E-14;4,42E-12;4,38E-12;2,21E-14;3,79E-14;4,44E-12;4,41E-12;4,94E-14;1,59E-13;4,62E-12;4,54E-12;1,71E-13;6,99E-13;5,41E-12
0,94;4,38E-12;1,97E-14;2,61E-14;4,43E-12;4,38E-12;2,30E-14;2,94E-14;4,44E-12;4,41E-12;5,54E-14;6,27E-14;4,53E-12;4,54E-12;2,00E-13;2,11E-13;4,95E-12
0,95;4,36E-12;1,96E-14;2,56E-14;4,41E-12;4,37E-12;2,43E-14;3,02E-14;4,42E-12;4,39E-12;7,08E-14;7,64E-14;4,54E-12;4,52E-12;2,78E-13;2,82E-13;5,08E-12
0,96;4,37E-12;2,02E-14;2,45E-14;4,42E-12;4,37E-12;2,21E-14;2,49E-14;4,42E-12;4,40E-12;4,04E-14;2,85E-14;4,47E-12;4,52E-12;1,22E-13;4,48E-14;4,69E-12
0,97;4,41E-12;2,06E-14;2,42E-14;4,45E-12;4,41E-12;2,54E-14;2,46E-14;4,46E-12;4,44E-12;7,26E-14;2,80E-14;4,54E-12;4,57E-12;2,83E-13;4,33E-14;4,90E-12
0,98;4,42E-12;1,92E-14;2,50E-14;4,47E-12;4,43E-12;2,27E-14;2,52E-14;4,47E-12;4,45E-12;5,75E-14;2,73E-14;4,54E-12;4,58E-12;2,12E-13;3,70E-14;4,83E-12
0,99;4,46E-12;2,04E-14;2,54E-14;4,50E-12;4,46E-12;2,74E-14;2,57E-14;4,51E-12;4,49E-12;9,69E-14;2,87E-14;4,61E-12;4,62E-12;4,06E-13;4,19E-14;5,06E-12
1,00;4,44E-12;1,99E-14;2,76E-14;4,49E-12;4,45E-12;2,31E-14;3,82E-14;4,51E-12;4,47E-12;5,54E-14;1,44E-13;4,67E-12;4,59E-12;1,99E-13;6,16E-13;5,41E-12
1,01;4,41E-12;2,05E-14;2,82E-14;4,46E-12;4,42E-12;2,70E-14;4,93E-14;4,49E-12;4,45E-12;9,14E-14;2,61E-13;4,80E-12;4,57E-12;3,78E-13;1,20E-12;6,15E-12
1,02;4,42E-12;2,08E-14;2,60E-14;4,47E-12;4,42E-12;2,85E-14;2,63E-14;4,48E-12;4,45E-12;1,06E-13;2,98E-14;4,59E-12;4,58E-12;4,50E-13;4,54E-14;5,07E-12
1,03;4,56E-12;2,13E-14;2,60E-14;4,60E-12;4,56E-12;2,74E-14;2,89E-14;4,61E-12;4,59E-12;8,84E-14;5,78E-14;4,73E-12;4,71E-12;3,59E-13;1,86E-13;5,26E-12
