zero of S position (m) defined 1334,4m before the entrance of the first dipole;Stabilised Pressure profils Dose = 100A*h (7BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;6,58E-12;4,60E-14;5,60E-14;6,68E-12;1,03E-11;5,76E-14;5,65E-14;1,04E-11;4,72E-11;1,74E-13;6,16E-14;4,74E-11;2,11E-10;6,91E-13;8,44E-14;2,12E-10
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
0,26;4,63E-12;1,99E-14;2,69E-14;4,68E-12;4,64E-12;1,99E-14;2,69E-14;4,69E-12;4,72E-12;1,99E-14;2,69E-14;4,77E-12;5,06E-12;1,99E-14;2,69E-14;5,11E-12
0,27;4,61E-12;1,87E-14;2,34E-14;4,65E-12;4,62E-12;1,87E-14;2,34E-14;4,66E-12;4,70E-12;1,87E-14;2,34E-14;4,74E-12;5,09E-12;1,87E-14;2,34E-14;5,13E-12
0,28;4,61E-12;2,33E-14;2,27E-14;4,66E-12;4,62E-12;2,33E-14;2,27E-14;4,66E-12;4,71E-12;2,33E-14;2,27E-14;4,76E-12;5,12E-12;2,33E-14;2,27E-14;5,17E-12
0,29;4,41E-12;1,43E-14;2,45E-14;4,45E-12;4,42E-12;1,43E-14;2,45E-14;4,46E-12;4,50E-12;1,43E-14;2,45E-14;4,54E-12;4,88E-12;1,43E-14;2,45E-14;4,91E-12
0,30;4,57E-12;2,12E-14;2,34E-14;4,62E-12;4,58E-12;2,12E-14;2,34E-14;4,63E-12;4,66E-12;2,12E-14;2,34E-14;4,70E-12;5,00E-12;2,12E-14;2,34E-14;5,04E-12
0,31;4,52E-12;2,06E-14;2,37E-14;4,57E-12;4,53E-12;2,06E-14;2,37E-14;4,57E-12;4,59E-12;2,06E-14;2,37E-14;4,63E-12;4,86E-12;2,06E-14;2,37E-14;4,90E-12
0,32;4,54E-12;2,25E-14;2,53E-14;4,59E-12;4,55E-12;2,25E-14;2,53E-14;4,59E-12;4,61E-12;2,25E-14;2,53E-14;4,66E-12;4,88E-12;2,25E-14;2,53E-14;4,93E-12
0,33;4,49E-12;1,82E-14;2,57E-14;4,53E-12;4,49E-12;1,82E-14;2,57E-14;4,54E-12;4,54E-12;1,82E-14;2,57E-14;4,58E-12;4,75E-12;1,82E-14;2,57E-14;4,79E-12
0,34;4,50E-12;2,12E-14;2,92E-14;4,55E-12;4,51E-12;2,12E-14;2,92E-14;4,56E-12;4,57E-12;2,12E-14;2,92E-14;4,62E-12;4,81E-12;2,12E-14;2,92E-14;4,87E-12
0,35;4,73E-12;2,05E-14;3,07E-14;4,78E-12;4,73E-12;2,05E-14;3,07E-14;4,78E-12;4,78E-12;2,05E-14;3,07E-14;4,83E-12;4,97E-12;2,05E-14;3,07E-14;5,02E-12
0,36;4,62E-12;2,49E-14;2,23E-14;4,66E-12;4,62E-12;2,49E-14;2,23E-14;4,67E-12;4,64E-12;2,49E-14;2,23E-14;4,69E-12;4,76E-12;2,49E-14;2,23E-14;4,81E-12
0,37;4,59E-12;1,79E-14;2,89E-14;4,63E-12;4,59E-12;1,79E-14;2,89E-14;4,64E-12;4,61E-12;1,79E-14;2,89E-14;4,66E-12;4,71E-12;1,79E-14;2,89E-14;4,75E-12
0,38;4,47E-12;2,13E-14;2,70E-14;4,52E-12;4,47E-12;2,13E-14;2,70E-14;4,52E-12;4,49E-12;2,13E-14;2,70E-14;4,54E-12;4,58E-12;2,13E-14;2,70E-14;4,63E-12
0,39;4,73E-12;2,02E-14;2,54E-14;4,78E-12;4,73E-12;2,02E-14;2,54E-14;4,78E-12;4,76E-12;2,02E-14;2,54E-14;4,81E-12;4,89E-12;2,02E-14;2,54E-14;4,94E-12
0,40;4,60E-12;2,13E-14;2,65E-14;4,65E-12;4,60E-12;2,13E-14;2,65E-14;4,65E-12;4,62E-12;2,13E-14;2,65E-14;4,67E-12;4,72E-12;2,13E-14;2,65E-14;4,76E-12
0,41;4,88E-12;1,62E-14;2,73E-14;4,93E-12;4,89E-12;1,62E-14;2,73E-14;4,93E-12;4,90E-12;1,62E-14;2,73E-14;4,94E-12;4,97E-12;1,62E-14;2,73E-14;5,01E-12
0,42;4,76E-12;2,17E-14;2,22E-14;4,81E-12;4,77E-12;2,17E-14;2,22E-14;4,81E-12;4,78E-12;2,17E-14;2,22E-14;4,83E-12;4,87E-12;2,17E-14;2,22E-14;4,91E-12
0,43;4,67E-12;1,76E-14;2,31E-14;4,71E-12;4,67E-12;1,76E-14;2,31E-14;4,71E-12;4,69E-12;1,76E-14;2,31E-14;4,73E-12;4,76E-12;1,76E-14;2,31E-14;4,80E-12
0,44;4,61E-12;1,44E-14;2,31E-14;4,65E-12;4,61E-12;1,44E-14;2,31E-14;4,65E-12;4,64E-12;1,44E-14;2,31E-14;4,68E-12;4,75E-12;1,44E-14;2,31E-14;4,79E-12
0,45;4,76E-12;1,98E-14;2,65E-14;4,81E-12;4,76E-12;1,98E-14;2,65E-14;4,81E-12;4,78E-12;1,98E-14;2,65E-14;4,83E-12;4,85E-12;1,98E-14;2,65E-14;4,89E-12
0,46;4,95E-12;2,05E-14;2,53E-14;5,00E-12;4,95E-12;2,05E-14;2,53E-14;5,00E-12;4,96E-12;2,05E-14;2,53E-14;5,01E-12;5,01E-12;2,05E-14;2,53E-14;5,06E-12
0,47;4,61E-12;1,89E-14;2,77E-14;4,66E-12;4,61E-12;1,89E-14;2,77E-14;4,66E-12;4,63E-12;1,89E-14;2,77E-14;4,68E-12;4,72E-12;1,89E-14;2,77E-14;4,76E-12
0,48;4,54E-12;1,93E-14;2,52E-14;4,59E-12;4,55E-12;1,93E-14;2,52E-14;4,59E-12;4,58E-12;1,93E-14;2,52E-14;4,62E-12;4,71E-12;1,93E-14;2,52E-14;4,75E-12
0,49;4,32E-12;1,58E-14;2,61E-14;4,36E-12;4,32E-12;1,58E-14;2,61E-14;4,36E-12;4,34E-12;1,58E-14;2,61E-14;4,38E-12;4,43E-12;1,58E-14;2,61E-14;4,47E-12
0,50;4,60E-12;1,77E-14;2,21E-14;4,64E-12;4,60E-12;1,77E-14;2,21E-14;4,64E-12;4,62E-12;1,77E-14;2,21E-14;4,66E-12;4,69E-12;1,77E-14;2,21E-14;4,73E-12
0,51;4,81E-12;1,86E-14;2,55E-14;4,85E-12;4,81E-12;1,86E-14;2,55E-14;4,86E-12;4,84E-12;1,86E-14;2,55E-14;4,89E-12;4,97E-12;1,86E-14;2,55E-14;5,01E-12
0,52;4,70E-12;2,03E-14;2,53E-14;4,75E-12;4,71E-12;2,03E-14;2,53E-14;4,75E-12;4,73E-12;2,03E-14;2,53E-14;4,77E-12;4,82E-12;2,03E-14;2,53E-14;4,86E-12
0,53;4,71E-12;2,29E-14;1,76E-14;4,75E-12;4,71E-12;2,29E-14;1,76E-14;4,75E-12;4,72E-12;2,29E-14;1,76E-14;4,76E-12;4,79E-12;2,29E-14;1,76E-14;4,84E-12
0,54;4,72E-12;1,87E-14;2,00E-14;4,76E-12;4,73E-12;1,87E-14;2,00E-14;4,76E-12;4,75E-12;1,87E-14;2,00E-14;4,79E-12;4,84E-12;1,87E-14;2,00E-14;4,88E-12
0,55;4,62E-12;1,89E-14;2,10E-14;4,66E-12;4,62E-12;1,89E-14;2,10E-14;4,66E-12;4,63E-12;1,89E-14;2,10E-14;4,67E-12;4,67E-12;1,89E-14;2,10E-14;4,71E-12
0,56;4,56E-12;1,75E-14;2,06E-14;4,60E-12;4,56E-12;1,75E-14;2,06E-14;4,60E-12;4,57E-12;1,75E-14;2,06E-14;4,61E-12;4,62E-12;1,75E-14;2,06E-14;4,66E-12
0,57;4,66E-12;2,00E-14;2,56E-14;4,70E-12;4,66E-12;2,00E-14;2,56E-14;4,70E-12;4,67E-12;2,00E-14;2,56E-14;4,72E-12;4,72E-12;2,00E-14;2,56E-14;4,76E-12
0,58;4,67E-12;1,66E-14;2,46E-14;4,71E-12;4,67E-12;1,66E-14;2,46E-14;4,71E-12;4,69E-12;1,66E-14;2,46E-14;4,73E-12;4,77E-12;1,66E-14;2,46E-14;4,81E-12
0,59;4,60E-12;2,04E-14;2,35E-14;4,65E-12;4,61E-12;2,04E-14;2,35E-14;4,65E-12;4,63E-12;2,04E-14;2,35E-14;4,67E-12;4,73E-12;2,04E-14;2,35E-14;4,77E-12
0,60;4,78E-12;1,66E-14;2,44E-14;4,82E-12;4,79E-12;1,66E-14;2,44E-14;4,83E-12;4,81E-12;1,66E-14;2,44E-14;4,85E-12;4,91E-12;1,66E-14;2,44E-14;4,95E-12
0,61;4,71E-12;1,70E-14;2,24E-14;4,75E-12;4,71E-12;1,70E-14;2,24E-14;4,75E-12;4,74E-12;1,70E-14;2,24E-14;4,78E-12;4,86E-12;1,70E-14;2,24E-14;4,90E-12
0,62;4,44E-12;1,93E-14;2,32E-14;4,48E-12;4,44E-12;1,93E-14;2,32E-14;4,48E-12;4,46E-12;1,93E-14;2,32E-14;4,50E-12;4,53E-12;1,93E-14;2,32E-14;4,57E-12
0,63;4,56E-12;2,06E-14;2,13E-14;4,60E-12;4,56E-12;2,06E-14;2,13E-14;4,60E-12;4,58E-12;2,06E-14;2,13E-14;4,63E-12;4,69E-12;2,06E-14;2,13E-14;4,73E-12
0,64;4,58E-12;2,15E-14;2,23E-14;4,62E-12;4,58E-12;2,15E-14;2,23E-14;4,63E-12;4,61E-12;2,15E-14;2,23E-14;4,65E-12;4,73E-12;2,16E-14;2,23E-14;4,77E-12
0,65;4,70E-12;1,87E-14;2,31E-14;4,74E-12;4,70E-12;1,87E-14;2,31E-14;4,74E-12;4,71E-12;1,87E-14;2,31E-14;4,75E-12;4,76E-12;1,87E-14;2,31E-14;4,80E-12
0,66;4,43E-12;1,44E-14;2,31E-14;4,47E-12;4,43E-12;1,44E-14;2,31E-14;4,47E-12;4,45E-12;1,44E-14;2,31E-14;4,48E-12;4,51E-12;1,44E-14;2,31E-14;4,54E-12
0,67;4,49E-12;1,66E-14;1,91E-14;4,53E-12;4,49E-12;1,66E-14;1,91E-14;4,53E-12;4,50E-12;1,66E-14;1,91E-14;4,53E-12;4,53E-12;1,66E-14;1,91E-14;4,57E-12
0,68;4,18E-12;1,78E-14;2,61E-14;4,23E-12;4,18E-12;1,78E-14;2,61E-14;4,23E-12;4,19E-12;1,78E-14;2,61E-14;4,23E-12;4,21E-12;1,78E-14;2,61E-14;4,26E-12
0,69;4,76E-12;2,33E-14;2,58E-14;4,81E-12;4,76E-12;2,33E-14;2,58E-14;4,81E-12;4,76E-12;2,33E-14;2,58E-14;4,81E-12;4,79E-12;2,33E-14;2,58E-14;4,84E-12
0,70;4,78E-12;1,55E-14;2,78E-14;4,82E-12;4,78E-12;1,55E-14;2,78E-14;4,82E-12;4,78E-12;1,55E-14;2,78E-14;4,82E-12;4,79E-12;1,55E-14;2,78E-14;4,84E-12
0,71;4,64E-12;1,86E-14;2,57E-14;4,68E-12;4,64E-12;1,86E-14;2,57E-14;4,68E-12;4,64E-12;1,86E-14;2,57E-14;4,69E-12;4,65E-12;1,86E-14;2,57E-14;4,70E-12
0,72;4,33E-12;1,94E-14;2,68E-14;4,37E-12;4,33E-12;1,94E-14;2,68E-14;4,37E-12;4,33E-12;1,94E-14;2,68E-14;4,37E-12;4,34E-12;1,94E-14;2,68E-14;4,39E-12
0,73;4,27E-12;2,02E-14;2,48E-14;4,31E-12;4,27E-12;2,02E-14;2,48E-14;4,32E-12;4,28E-12;2,02E-14;2,48E-14;4,32E-12;4,31E-12;2,02E-14;2,48E-14;4,35E-12
0,74;4,46E-12;1,94E-14;2,87E-14;4,51E-12;4,46E-12;1,94E-14;2,87E-14;4,51E-12;4,46E-12;1,94E-14;2,87E-14;4,51E-12;4,46E-12;1,94E-14;2,87E-14;4,51E-12
