zero of S position (m) defined 1334,4m before the entrance of the first dipole;Stabilised Pressure profils Dose = 100A*h (7BA section);;;;;;;;;;;;;;;
Current ?;1mA;;;;10mA;;;;100mA;;;;500mA;;;
Average (mbar)?;6,58E-12;4,60E-14;5,60E-14;6,68E-12;1,03E-11;5,76E-14;5,65E-14;1,04E-11;4,72E-11;1,74E-13;6,16E-14;4,74E-11;2,11E-10;6,91E-13;8,44E-14;2,12E-10
S position (m);H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total;H2;CO;CO2;Total
3,50;5,24E-12;4,23E-14;5,36E-14;5,33E-12;1,28E-11;5,93E-14;5,44E-14;1,29E-11;8,88E-11;2,29E-13;6,19E-14;8,91E-11;4,27E-10;9,82E-13;9,56E-14;4,28E-10
3,51;5,19E-12;5,18E-14;5,20E-14;5,30E-12;1,33E-11;7,37E-14;5,30E-14;1,34E-11;9,39E-11;2,93E-13;6,27E-14;9,42E-11;4,52E-10;1,27E-12;1,06E-13;4,54E-10
3,52;5,37E-12;6,00E-14;6,19E-14;5,49E-12;1,39E-11;8,68E-14;6,31E-14;1,41E-11;9,95E-11;3,54E-13;7,50E-14;9,99E-11;4,80E-10;1,54E-12;1,27E-13;4,81E-10
3,53;5,39E-12;5,86E-14;6,37E-14;5,51E-12;1,43E-11;9,00E-14;6,51E-14;1,45E-11;1,04E-10;4,04E-13;7,88E-14;1,04E-10;5,01E-10;1,80E-12;1,40E-13;5,03E-10
3,54;5,43E-12;5,85E-14;6,45E-14;5,56E-12;1,49E-11;9,35E-14;6,60E-14;1,50E-11;1,09E-10;4,44E-13;8,13E-14;1,10E-10;5,28E-10;2,00E-12;1,49E-13;5,30E-10
3,55;5,47E-12;7,07E-14;7,38E-14;5,62E-12;1,52E-11;1,08E-13;7,54E-14;1,54E-11;1,13E-10;4,83E-13;9,18E-14;1,14E-10;5,47E-10;2,15E-12;1,65E-13;5,49E-10
3,56;5,67E-12;6,47E-14;6,24E-14;5,80E-12;1,58E-11;1,04E-13;6,41E-14;1,60E-11;1,17E-10;4,98E-13;8,15E-14;1,18E-10;5,67E-10;2,25E-12;1,59E-13;5,70E-10
3,57;5,82E-12;6,88E-14;7,63E-14;5,97E-12;1,62E-11;1,10E-13;7,82E-14;1,64E-11;1,20E-10;5,23E-13;9,62E-14;1,20E-10;5,79E-10;2,36E-12;1,76E-13;5,82E-10
3,58;5,71E-12;6,62E-14;6,88E-14;5,84E-12;1,63E-11;1,08E-13;7,07E-14;1,65E-11;1,22E-10;5,25E-13;8,91E-14;1,23E-10;5,92E-10;2,38E-12;1,71E-13;5,94E-10
3,59;5,98E-12;6,41E-14;7,52E-14;6,12E-12;1,68E-11;1,06E-13;7,70E-14;1,70E-11;1,25E-10;5,25E-13;9,58E-14;1,25E-10;6,05E-10;2,39E-12;1,79E-13;6,07E-10
3,60;5,93E-12;6,97E-14;6,97E-14;6,07E-12;1,69E-11;1,11E-13;7,15E-14;1,71E-11;1,27E-10;5,26E-13;8,99E-14;1,27E-10;6,15E-10;2,37E-12;1,71E-13;6,17E-10
3,61;5,92E-12;7,12E-14;8,42E-14;6,07E-12;1,69E-11;1,11E-13;8,60E-14;1,71E-11;1,26E-10;5,12E-13;1,04E-13;1,27E-10;6,13E-10;2,29E-12;1,83E-13;6,16E-10
3,62;5,91E-12;6,96E-14;7,36E-14;6,05E-12;1,69E-11;1,08E-13;7,53E-14;1,71E-11;1,27E-10;4,90E-13;9,22E-14;1,28E-10;6,18E-10;2,19E-12;1,67E-13;6,20E-10
3,63;5,95E-12;7,03E-14;7,01E-14;6,09E-12;1,72E-11;1,07E-13;7,17E-14;1,74E-11;1,30E-10;4,73E-13;8,79E-14;1,30E-10;6,29E-10;2,10E-12;1,60E-13;6,31E-10
3,64;5,95E-12;7,83E-14;7,33E-14;6,10E-12;1,73E-11;1,13E-13;7,49E-14;1,74E-11;1,30E-10;4,64E-13;9,05E-14;1,31E-10;6,33E-10;2,02E-12;1,60E-13;6,35E-10
3,65;5,99E-12;6,57E-14;6,45E-14;6,12E-12;1,72E-11;9,96E-14;6,60E-14;1,74E-11;1,30E-10;4,39E-13;8,10E-14;1,30E-10;6,29E-10;1,95E-12;1,47E-13;6,31E-10
3,66;5,86E-12;6,34E-14;6,49E-14;5,99E-12;1,72E-11;9,60E-14;6,63E-14;1,73E-11;1,30E-10;4,22E-13;8,08E-14;1,31E-10;6,32E-10;1,87E-12;1,45E-13;6,34E-10
3,67;6,02E-12;5,61E-14;6,24E-14;6,14E-12;1,74E-11;8,73E-14;6,38E-14;1,76E-11;1,31E-10;3,99E-13;7,75E-14;1,32E-10;6,38E-10;1,78E-12;1,38E-13;6,40E-10
3,68;5,80E-12;5,98E-14;7,01E-14;5,93E-12;1,72E-11;9,00E-14;7,15E-14;1,74E-11;1,31E-10;3,92E-13;8,49E-14;1,32E-10;6,37E-10;1,74E-12;1,44E-13;6,39E-10
3,69;5,68E-12;6,14E-14;6,31E-14;5,81E-12;1,71E-11;9,07E-14;6,44E-14;1,72E-11;1,31E-10;3,84E-13;7,75E-14;1,32E-10;6,38E-10;1,69E-12;1,35E-13;6,40E-10
3,70;5,85E-12;5,48E-14;6,54E-14;5,97E-12;1,73E-11;8,31E-14;6,67E-14;1,75E-11;1,32E-10;3,66E-13;7,92E-14;1,32E-10;6,41E-10;1,62E-12;1,35E-13;6,43E-10
3,71;5,76E-12;5,19E-14;6,17E-14;5,88E-12;1,72E-11;7,96E-14;6,30E-14;1,74E-11;1,32E-10;3,56E-13;7,54E-14;1,32E-10;6,42E-10;1,59E-12;1,31E-13;6,44E-10
3,72;5,77E-12;5,38E-14;6,72E-14;5,90E-12;1,72E-11;8,12E-14;6,84E-14;1,73E-11;1,31E-10;3,55E-13;8,04E-14;1,32E-10;6,38E-10;1,57E-12;1,34E-13;6,40E-10
3,73;6,05E-12;5,72E-14;6,71E-14;6,17E-12;1,75E-11;8,42E-14;6,83E-14;1,76E-11;1,32E-10;3,54E-13;8,04E-14;1,32E-10;6,40E-10;1,55E-12;1,34E-13;6,42E-10
3,74;6,05E-12;5,62E-14;6,55E-14;6,18E-12;1,76E-11;8,29E-14;6,67E-14;1,77E-11;1,33E-10;3,49E-13;7,85E-14;1,33E-10;6,45E-10;1,53E-12;1,31E-13;6,47E-10
3,75;6,01E-12;5,65E-14;6,94E-14;6,13E-12;1,77E-11;8,28E-14;7,06E-14;1,78E-11;1,35E-10;3,45E-13;8,23E-14;1,35E-10;6,54E-10;1,51E-12;1,34E-13;6,56E-10
3,76;6,21E-12;5,19E-14;6,71E-14;6,33E-12;1,78E-11;7,79E-14;6,83E-14;1,79E-11;1,33E-10;3,38E-13;7,97E-14;1,34E-10;6,48E-10;1,49E-12;1,31E-13;6,49E-10
3,77;5,97E-12;6,12E-14;7,17E-14;6,10E-12;1,76E-11;8,69E-14;7,28E-14;1,77E-11;1,33E-10;3,44E-13;8,42E-14;1,34E-10;6,48E-10;1,49E-12;1,35E-13;6,50E-10
3,78;5,85E-12;5,44E-14;6,15E-14;5,96E-12;1,75E-11;8,00E-14;6,26E-14;1,77E-11;1,34E-10;3,36E-13;7,41E-14;1,35E-10;6,54E-10;1,47E-12;1,25E-13;6,56E-10
3,79;6,14E-12;5,36E-14;6,31E-14;6,25E-12;1,77E-11;7,93E-14;6,42E-14;1,79E-11;1,34E-10;3,36E-13;7,55E-14;1,34E-10;6,50E-10;1,48E-12;1,26E-13;6,51E-10
3,80;6,26E-12;5,21E-14;6,60E-14;6,38E-12;1,79E-11;7,77E-14;6,71E-14;1,80E-11;1,34E-10;3,33E-13;7,83E-14;1,35E-10;6,51E-10;1,47E-12;1,28E-13;6,53E-10
3,81;5,99E-12;5,48E-14;6,51E-14;6,11E-12;1,77E-11;8,06E-14;6,62E-14;1,79E-11;1,35E-10;3,39E-13;7,76E-14;1,36E-10;6,57E-10;1,49E-12;1,28E-13;6,59E-10
3,82;5,98E-12;6,00E-14;6,57E-14;6,11E-12;1,78E-11;8,56E-14;6,69E-14;1,80E-11;1,36E-10;3,42E-13;7,84E-14;1,37E-10;6,63E-10;1,48E-12;1,29E-13;6,65E-10
3,83;6,38E-12;5,97E-14;7,24E-14;6,52E-12;1,83E-11;8,59E-14;7,36E-14;1,85E-11;1,37E-10;3,47E-13;8,53E-14;1,38E-10;6,67E-10;1,51E-12;1,37E-13;6,68E-10
3,84;6,28E-12;5,67E-14;6,63E-14;6,41E-12;1,82E-11;8,31E-14;6,75E-14;1,84E-11;1,38E-10;3,47E-13;7,91E-14;1,38E-10;6,68E-10;1,52E-12;1,31E-13;6,70E-10
3,85;6,08E-12;5,56E-14;6,61E-14;6,20E-12;1,81E-11;8,24E-14;6,73E-14;1,82E-11;1,38E-10;3,51E-13;7,92E-14;1,38E-10;6,71E-10;1,54E-12;1,32E-13;6,72E-10
3,86;5,95E-12;5,80E-14;5,99E-14;6,07E-12;1,80E-11;8,51E-14;6,11E-14;1,82E-11;1,39E-10;3,56E-13;7,29E-14;1,39E-10;6,75E-10;1,56E-12;1,26E-13;6,77E-10
3,87;5,94E-12;6,30E-14;7,50E-14;6,08E-12;1,79E-11;9,04E-14;7,62E-14;1,81E-11;1,38E-10;3,64E-13;8,85E-14;1,39E-10;6,72E-10;1,58E-12;1,43E-13;6,74E-10
3,88;6,00E-12;6,04E-14;7,83E-14;6,14E-12;1,82E-11;8,83E-14;7,95E-14;1,84E-11;1,40E-10;3,67E-13;9,18E-14;1,41E-10;6,83E-10;1,60E-12;1,46E-13;6,85E-10
3,89;6,00E-12;5,70E-14;7,02E-14;6,13E-12;1,83E-11;8,54E-14;7,15E-14;1,84E-11;1,41E-10;3,70E-13;8,42E-14;1,41E-10;6,86E-10;1,63E-12;1,41E-13;6,87E-10
3,90;5,76E-12;5,69E-14;7,28E-14;5,89E-12;1,80E-11;8,66E-14;7,41E-14;1,82E-11;1,41E-10;3,84E-13;8,72E-14;1,41E-10;6,85E-10;1,71E-12;1,45E-13;6,87E-10
3,91;5,64E-12;6,03E-14;7,05E-14;5,78E-12;1,80E-11;9,14E-14;7,19E-14;1,81E-11;1,41E-10;4,02E-13;8,56E-14;1,42E-10;6,89E-10;1,78E-12;1,46E-13;6,90E-10
3,92;5,86E-12;6,66E-14;8,20E-14;6,01E-12;1,83E-11;9,93E-14;8,35E-14;1,85E-11;1,43E-10;4,26E-13;9,77E-14;1,43E-10;6,96E-10;1,88E-12;1,61E-13;6,98E-10
3,93;6,09E-12;6,71E-14;7,74E-14;6,23E-12;1,85E-11;1,01E-13;7,89E-14;1,86E-11;1,42E-10;4,42E-13;9,37E-14;1,43E-10;6,92E-10;1,96E-12;1,60E-13;6,94E-10
3,94;5,83E-12;6,42E-14;7,72E-14;5,97E-12;1,84E-11;1,01E-13;7,88E-14;1,85E-11;1,44E-10;4,64E-13;9,47E-14;1,44E-10;7,00E-10;2,08E-12;1,66E-13;7,03E-10
3,95;6,11E-12;6,48E-14;7,91E-14;6,26E-12;1,87E-11;1,04E-13;8,08E-14;1,89E-11;1,45E-10;4,95E-13;9,78E-14;1,46E-10;7,06E-10;2,23E-12;1,73E-13;7,09E-10
3,96;5,72E-12;6,84E-14;8,44E-14;5,87E-12;1,84E-11;1,09E-13;8,62E-14;1,86E-11;1,45E-10;5,10E-13;1,04E-13;1,45E-10;7,07E-10;2,30E-12;1,82E-13;7,09E-10
3,97;5,88E-12;7,97E-14;8,10E-14;6,04E-12;1,87E-11;1,21E-13;8,29E-14;1,89E-11;1,46E-10;5,38E-13;1,01E-13;1,47E-10;7,14E-10;2,39E-12;1,83E-13;7,16E-10
3,98;5,84E-12;7,67E-14;9,85E-14;6,01E-12;1,86E-11;1,20E-13;1,00E-13;1,88E-11;1,46E-10;5,52E-13;1,19E-13;1,47E-10;7,12E-10;2,47E-12;2,02E-13;7,14E-10
3,99;5,98E-12;6,63E-14;8,57E-14;6,14E-12;1,86E-11;1,10E-13;8,76E-14;1,88E-11;1,45E-10;5,46E-13;1,07E-13;1,46E-10;7,07E-10;2,49E-12;1,92E-13;7,10E-10
4,00;6,34E-12;7,98E-14;8,57E-14;6,51E-12;1,88E-11;1,24E-13;8,76E-14;1,90E-11;1,43E-10;5,68E-13;1,07E-13;1,44E-10;6,96E-10;2,54E-12;1,94E-13;6,98E-10
4,01;6,06E-12;8,11E-14;9,63E-14;6,23E-12;1,84E-11;1,25E-13;9,82E-14;1,86E-11;1,42E-10;5,68E-13;1,18E-13;1,42E-10;6,89E-10;2,53E-12;2,04E-13;6,92E-10
4,02;6,03E-12;8,52E-14;8,42E-14;6,20E-12;1,82E-11;1,30E-13;8,62E-14;1,84E-11;1,40E-10;5,75E-13;1,06E-13;1,40E-10;6,80E-10;2,56E-12;1,92E-13;6,82E-10
4,03;6,23E-12;7,92E-14;9,84E-14;6,40E-12;1,82E-11;1,23E-13;1,00E-13;1,84E-11;1,38E-10;5,60E-13;1,20E-13;1,38E-10;6,68E-10;2,50E-12;2,05E-13;6,71E-10
4,04;5,88E-12;7,72E-14;8,26E-14;6,04E-12;1,76E-11;1,20E-13;8,44E-14;1,78E-11;1,35E-10;5,50E-13;1,03E-13;1,36E-10;6,56E-10;2,46E-12;1,87E-13;6,59E-10
4,05;5,93E-12;7,64E-14;8,91E-14;6,10E-12;1,72E-11;1,18E-13;9,10E-14;1,75E-11;1,30E-10;5,37E-13;1,09E-13;1,31E-10;6,33E-10;2,40E-12;1,91E-13;6,36E-10
4,06;6,07E-12;6,68E-14;8,84E-14;6,23E-12;1,71E-11;1,07E-13;9,02E-14;1,73E-11;1,27E-10;5,06E-13;1,08E-13;1,27E-10;6,15E-10;2,28E-12;1,86E-13;6,17E-10
4,07;6,04E-12;6,50E-14;8,44E-14;6,19E-12;1,66E-11;1,02E-13;8,60E-14;1,68E-11;1,22E-10;4,70E-13;1,02E-13;1,22E-10;5,90E-10;2,10E-12;1,74E-13;5,92E-10
4,08;5,88E-12;6,30E-14;7,01E-14;6,02E-12;1,58E-11;9,57E-14;7,16E-14;1,59E-11;1,15E-10;4,23E-13;8,60E-14;1,15E-10;5,54E-10;1,88E-12;1,50E-13;5,56E-10
4,09;5,75E-12;6,59E-14;6,82E-14;5,88E-12;1,50E-11;9,33E-14;6,94E-14;1,51E-11;1,07E-10;3,67E-13;8,16E-14;1,08E-10;5,18E-10;1,58E-12;1,36E-13;5,19E-10
4,10;5,93E-12;4,95E-14;6,07E-14;6,04E-12;1,45E-11;7,28E-14;6,17E-14;1,46E-11;1,00E-10;3,05E-13;7,20E-14;1,01E-10;4,81E-10;1,34E-12;1,18E-13;4,83E-10
4,11;5,81E-12;5,52E-14;6,52E-14;5,93E-12;1,38E-11;7,56E-14;6,61E-14;1,39E-11;9,34E-11;2,79E-13;7,51E-14;9,37E-11;4,47E-10;1,18E-12;1,15E-13;4,49E-10
4,12;5,91E-12;5,64E-14;5,59E-14;6,02E-12;1,34E-11;7,47E-14;5,66E-14;1,35E-11;8,80E-11;2,57E-13;6,45E-14;8,84E-11;4,20E-10;1,07E-12;9,94E-14;4,21E-10
4,13;5,89E-12;5,73E-14;6,58E-14;6,01E-12;1,27E-11;7,37E-14;6,65E-14;1,29E-11;8,10E-11;2,38E-13;7,37E-14;8,13E-11;3,84E-10;9,70E-13;1,06E-13;3,86E-10
4,14;5,93E-12;5,71E-14;6,22E-14;6,04E-12;1,22E-11;7,18E-14;6,28E-14;1,23E-11;7,48E-11;2,19E-13;6,92E-14;7,51E-11;3,53E-10;8,71E-13;9,76E-14;3,54E-10
4,15;5,69E-12;5,75E-14;7,04E-14;5,81E-12;1,13E-11;7,04E-14;7,10E-14;1,15E-11;6,78E-11;1,99E-13;7,67E-14;6,81E-11;3,19E-10;7,71E-13;1,02E-13;3,20E-10
4,16;6,08E-12;6,25E-14;8,07E-14;6,22E-12;1,11E-11;7,37E-14;8,13E-14;1,13E-11;6,18E-11;1,86E-13;8,63E-14;6,21E-11;2,87E-10;6,84E-13;1,09E-13;2,88E-10
4,17;5,82E-12;7,72E-14;9,89E-14;5,99E-12;1,03E-11;8,77E-14;9,94E-14;1,05E-11;5,52E-11;1,92E-13;1,04E-13;5,55E-11;2,55E-10;6,56E-13;1,25E-13;2,55E-10
4,18;6,16E-12;8,30E-14;1,17E-13;6,36E-12;1,02E-11;9,33E-14;1,18E-13;1,04E-11;5,01E-11;1,96E-13;1,22E-13;5,04E-11;2,28E-10;6,55E-13;1,43E-13;2,28E-10
4,19;6,32E-12;1,07E-13;1,28E-13;6,55E-12;9,56E-12;1,16E-13;1,28E-13;9,80E-12;4,20E-11;2,03E-13;1,32E-13;4,23E-11;1,86E-10;5,92E-13;1,49E-13;1,87E-10
4,20;6,57E-12;1,49E-13;2,15E-13;6,93E-12;9,10E-12;1,56E-13;2,15E-13;9,47E-12;3,44E-11;2,25E-13;2,18E-13;3,48E-11;1,47E-10;5,33E-13;2,31E-13;1,48E-10
4,21;7,64E-12;2,25E-13;3,04E-13;8,17E-12;9,59E-12;2,30E-13;3,04E-13;1,01E-11;2,91E-11;2,81E-13;3,06E-13;2,97E-11;1,16E-10;5,07E-13;3,16E-13;1,16E-10
4,22;7,34E-12;2,36E-13;3,07E-13;7,88E-12;9,10E-12;2,40E-13;3,07E-13;9,65E-12;2,67E-11;2,85E-13;3,09E-13;2,73E-11;1,05E-10;4,83E-13;3,18E-13;1,06E-10
4,23;6,70E-12;1,69E-13;1,97E-13;7,06E-12;8,47E-12;1,73E-13;1,97E-13;8,84E-12;2,62E-11;2,17E-13;1,99E-13;2,66E-11;1,05E-10;4,12E-13;2,08E-13;1,06E-10
4,24;6,06E-12;9,21E-14;1,24E-13;6,28E-12;7,90E-12;9,62E-14;1,24E-13;8,12E-12;2,63E-11;1,37E-13;1,26E-13;2,66E-11;1,08E-10;3,20E-13;1,34E-13;1,09E-10
4,25;5,84E-12;7,96E-14;9,81E-14;6,02E-12;7,71E-12;8,31E-14;9,82E-14;7,89E-12;2,64E-11;1,19E-13;9,98E-14;2,66E-11;1,09E-10;2,77E-13;1,07E-13;1,10E-10
4,26;5,78E-12;5,47E-14;7,71E-14;5,91E-12;7,68E-12;5,78E-14;7,72E-14;7,81E-12;2,66E-11;8,85E-14;7,86E-14;2,68E-11;1,11E-10;2,25E-13;8,48E-14;1,11E-10
4,27;5,57E-12;4,76E-14;5,60E-14;5,68E-12;7,51E-12;5,11E-14;5,62E-14;7,61E-12;2,69E-11;8,58E-14;5,76E-14;2,70E-11;1,13E-10;2,40E-13;6,43E-14;1,13E-10
4,28;5,41E-12;3,61E-14;4,69E-14;5,49E-12;7,44E-12;4,03E-14;4,71E-14;7,53E-12;2,78E-11;8,22E-14;4,89E-14;2,79E-11;1,18E-10;2,68E-13;5,69E-14;1,18E-10
4,29;5,40E-12;3,62E-14;4,11E-14;5,48E-12;7,50E-12;4,09E-14;4,13E-14;7,58E-12;2,84E-11;8,82E-14;4,34E-14;2,85E-11;1,21E-10;2,98E-13;5,24E-14;1,22E-10
4,30;5,26E-12;2,61E-14;3,65E-14;5,32E-12;7,34E-12;3,09E-14;3,67E-14;7,41E-12;2,81E-11;7,93E-14;3,88E-14;2,82E-11;1,20E-10;2,94E-13;4,83E-14;1,21E-10
4,31;5,13E-12;2,45E-14;3,31E-14;5,19E-12;7,22E-12;2,92E-14;3,33E-14;7,28E-12;2,81E-11;7,55E-14;3,54E-14;2,83E-11;1,21E-10;2,81E-13;4,46E-14;1,21E-10
4,32;5,21E-12;2,85E-14;3,42E-14;5,27E-12;7,30E-12;3,28E-14;3,44E-14;7,37E-12;2,83E-11;7,49E-14;3,63E-14;2,84E-11;1,21E-10;2,62E-13;4,47E-14;1,22E-10
4,33;5,23E-12;2,05E-14;2,96E-14;5,28E-12;7,26E-12;2,44E-14;2,98E-14;7,31E-12;2,76E-11;6,28E-14;3,15E-14;2,77E-11;1,18E-10;2,34E-13;3,92E-14;1,18E-10
4,34;5,14E-12;2,48E-14;2,46E-14;5,18E-12;7,10E-12;2,83E-14;2,48E-14;7,15E-12;2,67E-11;6,32E-14;2,63E-14;2,68E-11;1,14E-10;2,18E-13;3,32E-14;1,14E-10
4,35;5,28E-12;2,27E-14;2,45E-14;5,32E-12;7,19E-12;2,57E-14;2,46E-14;7,24E-12;2,63E-11;5,67E-14;2,60E-14;2,63E-11;1,11E-10;1,94E-13;3,22E-14;1,11E-10
4,36;5,25E-12;2,69E-14;2,62E-14;5,30E-12;7,12E-12;3,00E-14;2,63E-14;7,18E-12;2,58E-11;6,11E-14;2,77E-14;2,59E-11;1,09E-10;1,99E-13;3,38E-14;1,09E-10
4,37;5,26E-12;2,14E-14;2,49E-14;5,30E-12;7,11E-12;2,43E-14;2,51E-14;7,16E-12;2,56E-11;5,35E-14;2,64E-14;2,57E-11;1,08E-10;1,83E-13;3,23E-14;1,08E-10
4,38;5,11E-12;2,19E-14;2,67E-14;5,15E-12;6,91E-12;2,46E-14;2,68E-14;6,96E-12;2,49E-11;5,20E-14;2,81E-14;2,50E-11;1,05E-10;1,73E-13;3,36E-14;1,05E-10
4,39;5,12E-12;2,47E-14;2,99E-14;5,18E-12;6,90E-12;2,73E-14;3,00E-14;6,95E-12;2,46E-11;5,34E-14;3,11E-14;2,47E-11;1,03E-10;1,70E-13;3,63E-14;1,04E-10
4,40;5,11E-12;2,45E-14;3,34E-14;5,17E-12;6,86E-12;2,69E-14;3,35E-14;6,92E-12;2,43E-11;5,14E-14;3,46E-14;2,44E-11;1,02E-10;1,60E-13;3,96E-14;1,02E-10
4,41;4,99E-12;2,12E-14;2,86E-14;5,04E-12;6,68E-12;2,37E-14;2,87E-14;6,73E-12;2,36E-11;4,81E-14;2,98E-14;2,37E-11;9,89E-11;1,57E-13;3,46E-14;9,91E-11
4,42;5,02E-12;1,77E-14;2,99E-14;5,06E-12;6,64E-12;2,01E-14;3,00E-14;6,69E-12;2,29E-11;4,38E-14;3,11E-14;2,30E-11;9,53E-11;1,49E-13;3,58E-14;9,55E-11
4,43;5,10E-12;2,14E-14;2,03E-14;5,14E-12;6,68E-12;2,38E-14;2,04E-14;6,72E-12;2,25E-11;4,75E-14;2,15E-14;2,25E-11;9,26E-11;1,53E-13;2,62E-14;9,28E-11
4,44;4,95E-12;1,64E-14;2,46E-14;4,99E-12;6,48E-12;1,86E-14;2,47E-14;6,52E-12;2,17E-11;4,08E-14;2,57E-14;2,18E-11;8,96E-11;1,39E-13;3,01E-14;8,97E-11
4,45;4,93E-12;2,44E-14;2,86E-14;4,99E-12;6,40E-12;2,66E-14;2,87E-14;6,46E-12;2,11E-11;4,85E-14;2,96E-14;2,12E-11;8,64E-11;1,46E-13;3,40E-14;8,65E-11
4,46;4,60E-12;2,16E-14;2,74E-14;4,65E-12;6,04E-12;2,37E-14;2,75E-14;6,09E-12;2,04E-11;4,44E-14;2,85E-14;2,05E-11;8,43E-11;1,36E-13;3,29E-14;8,45E-11
4,47;4,71E-12;2,74E-14;2,50E-14;4,77E-12;6,15E-12;2,94E-14;2,51E-14;6,20E-12;2,05E-11;4,97E-14;2,60E-14;2,05E-11;8,41E-11;1,40E-13;3,01E-14;8,43E-11
4,48;4,72E-12;2,12E-14;2,43E-14;4,77E-12;6,12E-12;2,32E-14;2,44E-14;6,17E-12;2,01E-11;4,32E-14;2,53E-14;2,02E-11;8,23E-11;1,32E-13;2,93E-14;8,25E-11
4,49;4,81E-12;2,45E-14;2,64E-14;4,86E-12;6,17E-12;2,64E-14;2,64E-14;6,23E-12;1,98E-11;4,55E-14;2,73E-14;1,99E-11;8,04E-11;1,30E-13;3,12E-14;8,05E-11
4,50;4,68E-12;2,75E-14;2,47E-14;4,73E-12;6,00E-12;2,94E-14;2,48E-14;6,05E-12;1,92E-11;4,84E-14;2,56E-14;1,92E-11;7,77E-11;1,33E-13;2,94E-14;7,79E-11
4,51;4,54E-12;2,54E-14;2,90E-14;4,60E-12;5,84E-12;2,73E-14;2,91E-14;5,89E-12;1,88E-11;4,61E-14;2,99E-14;1,88E-11;7,62E-11;1,30E-13;3,36E-14;7,64E-11
4,52;4,44E-12;2,72E-14;2,62E-14;4,49E-12;5,70E-12;2,91E-14;2,62E-14;5,75E-12;1,83E-11;4,78E-14;2,71E-14;1,84E-11;7,43E-11;1,31E-13;3,07E-14;7,45E-11
4,53;4,66E-12;2,65E-14;2,80E-14;4,72E-12;5,90E-12;2,82E-14;2,81E-14;5,96E-12;1,83E-11;4,59E-14;2,89E-14;1,84E-11;7,34E-11;1,24E-13;3,23E-14;7,35E-11
4,54;4,45E-12;2,20E-14;2,84E-14;4,50E-12;5,66E-12;2,38E-14;2,85E-14;5,71E-12;1,78E-11;4,13E-14;2,93E-14;1,79E-11;7,17E-11;1,19E-13;3,27E-14;7,19E-11
4,55;4,45E-12;2,49E-14;2,75E-14;4,50E-12;5,61E-12;2,66E-14;2,76E-14;5,67E-12;1,72E-11;4,37E-14;2,84E-14;1,73E-11;6,88E-11;1,20E-13;3,18E-14;6,89E-11
4,56;4,49E-12;2,19E-14;3,53E-14;4,55E-12;5,63E-12;2,36E-14;3,54E-14;5,69E-12;1,70E-11;4,05E-14;3,61E-14;1,71E-11;6,75E-11;1,16E-13;3,93E-14;6,77E-11
4,57;4,20E-12;2,07E-14;2,71E-14;4,25E-12;5,31E-12;2,23E-14;2,72E-14;5,36E-12;1,64E-11;3,80E-14;2,79E-14;1,65E-11;6,57E-11;1,08E-13;3,10E-14;6,58E-11
4,58;4,45E-12;2,26E-14;2,89E-14;4,50E-12;5,55E-12;2,42E-14;2,90E-14;5,61E-12;1,66E-11;4,01E-14;2,97E-14;1,67E-11;6,59E-11;1,11E-13;3,28E-14;6,61E-11
4,59;4,41E-12;1,86E-14;2,94E-14;4,46E-12;5,44E-12;2,02E-14;2,94E-14;5,49E-12;1,58E-11;3,60E-14;3,01E-14;1,58E-11;6,16E-11;1,06E-13;3,31E-14;6,17E-11
4,60;4,70E-12;2,04E-14;2,56E-14;4,75E-12;5,71E-12;2,19E-14;2,57E-14;5,76E-12;1,58E-11;3,71E-14;2,63E-14;1,59E-11;6,07E-11;1,04E-13;2,93E-14;6,09E-11
4,61;4,34E-12;2,21E-14;2,70E-14;4,39E-12;5,37E-12;2,36E-14;2,71E-14;5,42E-12;1,57E-11;3,82E-14;2,78E-14;1,57E-11;6,15E-11;1,03E-13;3,07E-14;6,16E-11
4,62;4,45E-12;1,88E-14;2,52E-14;4,49E-12;5,47E-12;2,03E-14;2,53E-14;5,51E-12;1,57E-11;3,46E-14;2,59E-14;1,57E-11;6,10E-11;9,85E-14;2,86E-14;6,12E-11
4,63;4,43E-12;1,88E-14;2,67E-14;4,47E-12;5,38E-12;2,02E-14;2,68E-14;5,43E-12;1,49E-11;3,41E-14;2,74E-14;1,50E-11;5,72E-11;9,57E-14;3,01E-14;5,73E-11
4,64;4,37E-12;1,82E-14;2,86E-14;4,42E-12;5,29E-12;1,95E-14;2,86E-14;5,34E-12;1,45E-11;3,33E-14;2,92E-14;1,46E-11;5,56E-11;9,43E-14;3,19E-14;5,57E-11
4,65;4,33E-12;1,71E-14;2,65E-14;4,37E-12;5,25E-12;1,84E-14;2,66E-14;5,29E-12;1,44E-11;3,17E-14;2,72E-14;1,45E-11;5,52E-11;9,10E-14;2,97E-14;5,53E-11
4,66;4,31E-12;1,75E-14;2,58E-14;4,36E-12;5,24E-12;1,87E-14;2,59E-14;5,28E-12;1,44E-11;3,12E-14;2,64E-14;1,45E-11;5,54E-11;8,66E-14;2,88E-14;5,55E-11
4,67;4,28E-12;2,07E-14;3,30E-14;4,34E-12;5,17E-12;2,19E-14;3,31E-14;5,22E-12;1,40E-11;3,43E-14;3,36E-14;1,41E-11;5,35E-11;8,94E-14;3,61E-14;5,36E-11
